1	Einleitung	Einleitung
123	zusammenfassen	zusammenfassen
124	und	und
125	analysieren	analysieren
126	.	.
127	Der	Der
128	erste	erste
129	Text	Text
130	gibt	gibt
131	einen	einen
132	Überblick	Überblick
133	über	über
134	die	die
135	Definition	Definition
136	,	,
137	die	die
138	Klassifikation	Klassifikation
139	und	und
140	die	die
141	grammatischen	grammatischen
142	und	und
143	lexikalischen	lexikalischen
144	Eigenschaften	Eigenschaften
145	von	von
146	Kiezdeutsch	Kiezdeutsch
147	.	.
148	Der	Der
149	zweite	zweite
150	Text	Text
151	geht	geht
152	auf	auf
153	die	die
154	Bewertung	Bewertung
155	und	und
156	die	die
157	Wahrnehmung	Wahrnehmung
158	von	von
159	Kiezdeutsch	Kiezdeutsch
160	ein	ein
161	und	und
162	zeigt	zeigt
163	,	,
164	wie	wie
165	diese	diese
166	von	von
167	sozioökonomischen	sozioökonomischen
168	und	und
169	kulturellen	kulturellen
170	Faktoren	Faktoren
171	beeinflusst	beeinflusst
172	werden	werden
173	.	.
174	Beide	Beide
175	Texte	Texte
176	betonen	betonen
177	,	,
178	dass	dass
179	Kiezdeutsch	Kiezdeutsch
180	kein	kein
181	falsches	falsches
182	oder	oder
183	reduziertes	reduziertes
184	Deutsch	Deutsch
185	ist	ist
186	,	,
187	sondern	sondern
188	ein	ein
189	Teil	Teil
190	eines	eines
191	größeren	größeren
192	sprachlichen	sprachlichen
193	Repertoires	Repertoires
194	,	,
195	das	das
196	situationsangemessen	situationsangemessen
197	eingesetzt	eingesetzt
198	wird	wird
199	.	.
200	Beide	Beide
201	Texte	Texte
202	weisen	weisen
203	auch	auch
204	darauf	darauf
205	hin	hin
206	,	,
207	dass	dass
208	Kiezdeutsch	Kiezdeutsch
209	keine	keine
210	Mischsprache	Mischsprache
211	ist	ist
212	,	,
213	sondern	sondern
214	aus	aus
215	dem	dem
216	System	System
217	der	der
218	deutschen	deutschen
219	Grammatik	Grammatik
220	heraus	heraus
221	entstanden	entstanden
222	ist	ist
223	und	und
224	typisch	typisch
225	deutsch	deutsch
226	ist	ist
227	.	.
228	Beide	Beide
229	Texte	Texte
230	argumentieren	argumentieren
231	schließlich	schließlich
232	,	,
233	dass	dass
234	Kiezdeutsch	Kiezdeutsch
235	das	das
236	Deutsche	Deutsche
237	bereichert	bereichert
238	,	,
239	indem	indem
240	es	es
241	dem	dem
242	Spektrum	Spektrum
243	der	der
244	deutschen	deutschen
245	Varietäten	Varietäten
246	ein	ein
247	neues	neues
248	,	,
249	vitales	vitales
250	Element	Element
251	hinzufügt	hinzufügt
252	,	,
253	und	und
254	dass	dass
255	Sprachwandel	Sprachwandel
256	ein	ein
257	natürlicher	natürlicher
258	und	und
259	unvermeidlicher	unvermeidlicher
260	Prozess	Prozess
261	ist	ist
262	.	.
263	Zusammenfassung	Zusammenfassung
264	:	:
265	In	In
266	der	der
267	Zusammenfassung	Zusammenfassung
268	werde	werde
269	ich	ich
270	meine	meine
271	These	These
272	wiederholen	wiederholen
273	und	und
274	die	die
275	wichtigsten	wichtigsten
276	Punkte	Punkte
277	der	der
278	Texte	Texte
279	kurz	kurz
280	wiederholen	wiederholen
281	.	.
282	Meine	Meine
283	These	These
284	ist	ist
285	:	:
286	Kiezdeutsch	Kiezdeutsch
287	ist	ist
288	eine	eine
289	bereichernde	bereichernde
290	und	und
291	legitime	legitime
292	Varietät	Varietät
293	des	des
294	Deutschen	Deutschen
295	,	,
296	die	die
297	nicht	nicht
298	als	als
299	Bedrohung	Bedrohung
300	oder	oder
301	Verfall	Verfall
302	angesehen	angesehen
303	werden	werden
304	sollte	sollte
305	.	.
306	Die	Die
307	Texte	Texte
308	zeigen	zeigen
309	,	,
310	dass	dass
311	Kiezdeutsch	Kiezdeutsch
312	eine	eine
313	Varietät	Varietät
314	ist	ist
315	,	,
316	die	die
317	von	von
318	verschiedenen	verschiedenen
319	ethnischen	ethnischen
320	Gruppen	Gruppen
321	in	in
322	urbanen	urbanen
323	Räumen	Räumen
324	gesprochen	gesprochen
325	wird	wird
326	,	,
327	die	die
328	eine	eine
329	informelle	informelle
330	Sprechweise	Sprechweise
331	ist	ist
332	,	,
333	die	die
334	situationsangemessen	situationsangemessen
335	verwendet	verwendet
336	wird	wird
337	,	,
338	die	die
339	aus	aus
340	dem	dem
341	System	System
342	der	der
343	deutschen	deutschen
344	Grammatik	Grammatik
345	heraus	heraus
346	entstanden	entstanden
347	ist	ist
348	und	und
349	typisch	typisch
350	deutsch	deutsch
351	ist	ist
352	,	,
353	und	und
354	die	die
355	das	das
356	Deutsche	Deutsche
357	bereichert	bereichert
358	,	,
359	indem	indem
360	sie	sie
361	dem	dem
362	Spektrum	Spektrum
363	der	der
364	deutschen	deutschen
365	Varietäten	Varietäten
366	ein	ein
367	neues	neues
368	,	,
369	vitales	vitales
370	Element	Element
371	hinzufügt	hinzufügt
372	.	.
373	Die	Die
374	Texte	Texte
375	fordern	fordern
376	eine	eine
377	Anerkennung	Anerkennung
378	und	und
379	eine	eine
380	Wertschätzung	Wertschätzung
381	von	von
382	Kiezdeutsch	Kiezdeutsch
383	als	als
384	einer	einer
385	neuen	neuen
386	Form	Form
387	des	des
388	Deutschen	Deutschen
389	,	,
390	die	die
391	nicht	nicht
392	diskriminiert	diskriminiert
393	oder	oder
394	abgewertet	abgewertet
395	werden	werden
396	sollte	sollte
397	.	.
